TRMB,Information Technology,1.41,1.12,0.5,1.2,157.66
COO,Health Care,1.31,3.62,0.46,1.63,157.63
BDX,Health Care,2.16,0.68,0.27,0.8,157.54
NVDA,Information Technology,1.58,2.91,2.18,5.19,157.43
ITW,Industrials,0.49,0.82,1.83,1.05,157.34
PH,Industrials,0.41,0.48,0.46,0.55,157.28
AVGO,Information Technology,1.24,0.59,0.76,1.77,157.25
UPS,Industrials,0.49,0.67,2.28,0.34,157.21
HON,Industrials,0.49,0.89,0.73,0.91,156.93
GLW,Information Technology,1.31,1.03,0.21,0.57,156.82
CPRT,Industrials,0.66,2.67,0.93,2.56,156.72
XLNX,Information Technology,1.23,1.02,1.19,2.32,156.68
NSC,Industrials,0.53,0.88,0.4,1.39,156.57
WM,Industrials,0.51,0.73,0.6,0.65,156.51
WAB,Industrials,0.49,0.57,0.13,0.36,156.3
FBHS,Industrials,0.51,0.6,0.42,0.42,156.28
CHRW,Industrials,0.56,0.79,0.6,0.16,155.86
CTAS,Industrials,0.62,1.07,0.91,1.09,155.8
PYPL,Information Technology,1.31,2.21,1.55,3.26,155.75
URI,Industrials,0.58,0.29,0.42,0.51,155.49
PNR,Industrials,0.6,0.59,0.42,0.65,155.43
PCAR,Industrials,0.6,0.52,0.3,0.36,155.28
GWW,Industrials,0.63,0.78,0.78,0.36,155.25
VRSK,Industrials,0.76,1.34,1.17,2.36,155.09
INFO,Industrials,0.7,0.92,0.4,1.79,155.08
FLS,Industrials,0.64,0.74,0.27,0.28,154.92
TT,Industrials,0.71,0.96,0.51,0.62,154.57
ODFL,Industrials,0.84,1.3,0.73,1.28,153.71
XRX,Information Technology,0.78,0.24,0.08,0.14,153.44
FLT,Information Technology,0.78,0.52,0.71,2.04,153.43
CTXS,Information Technology,0.54,0.62,13.25,1.07,153.37
CAT,Industrials,0.84,0.73,0.69,0.54,153.15
IEX,Industrials,0.88,0.98,0.57,1.31,153.14
FLIR,Information Technology,0.86,1.03,0.37,0.81,153.05
MSFT,Information Technology,0.83,1.21,1.27,2.47,153.03
NWS,Communication Services,0.0,0.6,0.13,0.31,152.97
NWSA,Communication Services,0.0,0.61,0.13,0.31,152.95
MU,Information Technology,0.54,0.0,0.23,0.93,151.93
CDW,Information Technology,0.68,0.98,1.69,0.26,151.78
WU,Information Technology,0.28,0.44,13.36,0.42,151.39
V,Information Technology,0.68,1.78,0.97,4.84,151.26
BR,Information Technology,0.61,0.99,1.1,0.77,151.12
VRSN,Information Technology,0.57,1.11,0.0,3.71,150.88
MSI,Information Technology,0.54,0.73,0.0,0.88,150.78
CDNS,Information Technology,0.59,1.54,1.48,3.18,150.58
FTV,Industrials,1.08,0.5,0.27,0.73,150.57
CTSH,Information Technology,0.46,0.45,0.33,0.49,150.51
PAYX,Information Technology,0.5,0.91,1.03,1.69,150.5
NTAP,Information Technology,0.38,0.51,3.91,0.6,150.38
IBM,Information Technology,0.41,0.27,0.45,0.3,150.32
NLOK,Information Technology,0.34,0.0,0.0,1.03,150.24
CSCO,Information Technology,0.42,0.42,0.46,0.83,150.23
ORCL,Information Technology,0.3,0.53,1.94,1.03,149.39
HPQ,Information Technology,0.22,0.34,0.0,0.14,148.49
INTC,Information Technology,0.21,0.42,0.29,0.71,148.41
TDG,Industrials,1.41,1.19,0.0,1.47,147.71
HPE,Information Technology,0.0,1.07,0.1,0.14,145.52
WBA,Consumer Staples,0.0,0.28,0.19,0.06,143.84
CPB,Consumer Staples,0.13,0.42,0.47,0.33,140.49
GIS,Consumer Staples,0.23,0.37,0.36,0.39,137.6
CAG,Consumer Staples,0.24,0.37,0.18,0.3,137.36
TSN,Consumer Staples,0.25,0.26,0.14,0.12,137.01
PM,Consumer Staples,0.27,0.48,0.0,0.95,136.8
UDR,Real Estate,6.21,1.12,0.34,2.06,135.9
VNO,Real Estate,2.08,0.0,0.09,0.91,135.66
MAA,Real Estate,1.5,1.03,0.23,1.93,135.64
WELL,Real Estate,0.57,0.22,0.15,1.27,135.59
VTR,Real Estate,0.94,0.47,0.17,1.04,135.58
HST,Real Estate,0.0,0.0,0.17,0.92,135.55
WY,Real Estate,0.8,0.65,0.28,0.71,135.55
BXP,Real Estate,0.27,0.78,0.15,1.07,135.53
CBRE,Real Estate,0.36,0.5,0.34,0.21,135.51
PEAK,Real Estate,0.95,5.2,0.2,1.97,135.39
WMT,Consumer Staples,0.32,0.54,0.41,0.15,135.33
STZ,Consumer Staples,0.35,0.66,0.29,1.1,134.69
MDLZ,Consumer Staples,0.37,0.83,0.25,0.61,134.44
TAP,Consumer Staples,0.37,0.21,0.06,0.21,133.78
XYL,Industrials,2.78,0.91,0.57,1.06,133.74
CLX,Consumer Staples,0.4,0.57,1.55,0.65,133.26
HRL,Consumer Staples,0.46,1.12,0.36,0.55,132.15
HSY,Consumer Staples,0.51,0.7,1.37,0.81,130.46
CHD,Consumer Staples,0.52,0.71,0.57,0.86,130.11
DIS,Communication Services,0.0,4.19,0.33,1.13,129.89
CL,Consumer Staples,0.54,0.67,5.63,0.83,129.83
PG,Consumer Staples,0.54,0.68,0.59,0.92,129.67
KO,Consumer Staples,0.56,0.97,0.97,1.35,129.37
PEP,Consumer Staples,0.57,0.94,1.23,0.54,129.17
BF.B,Consumer Staples,0.64,1.65,1.37,2.23,127.92
MNST,Consumer Staples,0.67,1.39,0.93,2.24,126.7
NEE,Utilities,0.88,4.12,0.31,1.76,122.28
NRG,Utilities,0.04,0.2,0.46,0.22,119.77
HES,Energy,0.0,0.0,0.26,0.83,119.45
