code,industry,stockratio,initialPE,initialFCF,initialPB,initialDE
SIVB,Financials,145.44,17.96,21.64,1.84,12.41
SYF,Financials,121.24,10.25,3.67,1.8,5.66
SNPS,Information Technology,119.54,35.2,19.53,2.47,0.61
SYY,Consumer Staples,139.77,27.37,19.07,5.15,2.32
TMUS,Communication Services,148.09,47.71,46.64,1.93,2.77
TROW,Financials,109.27,13.51,11.76,3.27,0.07
TTWO,Communication Services,142.52,0.0,9.34,5.76,3.91
TPR,Consumer Discretionary,111.61,21.11,21.07,3.01,0.79
TGT,Consumer Discretionary,92.54,0.0,8.75,3.05,2.13
TEL,Information Technology,109.26,10.53,16.98,2.62,1.24
FTI,Energy,123.38,16.15,15.5,0.0,1.52
TDY,Industrials,139.69,16.28,19.57,2.28,1.02
TFX,Health Care,124.57,25.14,25.37,2.64,0.93
TER,Information Technology,125.21,20.46,12.7,2.06,0.3
TSLA,Consumer Discretionary,89.7,0.0,0.0,29.11,6.45
TXN,Information Technology,137.7,17.01,12.64,4.88,0.63
TXT,Industrials,116.68,16.59,17.32,2.3,1.96
TMO,Health Care,100.62,28.45,22.13,2.61,0.91
TJX,Consumer Discretionary,102.77,20.84,23.9,10.52,1.73
TSCO,Consumer Discretionary,90.34,26.58,49.53,7.68,0.7
TDG,Industrials,119.91,21.07,21.53,-9.58,-9.64
TRV,Financials,111.77,9.21,9.5,1.26,3.25
TRMB,Information Technology,141.59,46.63,17.71,2.42,0.66
TFC,Financials,129.41,12.34,7.68,0.91,6.68
TWTR,Communication Services,70.96,0.0,428.52,3.68,0.48
TYL,Information Technology,82.5,97.93,52.3,7.46,0.58
TSN,Consumer Staples,117.72,14.6,9.76,1.82,1.38
UDR,Real Estate,100.99,24.83,34.94,2.85,1.64
ULTA,Consumer Discretionary,140.91,37.41,124.52,8.07,0.63
USB,Financials,124.31,11.62,7.43,1.37,8.01
UAA,Consumer Discretionary,72.6,74.36,0.0,10.44,0.72
UNP,Industrials,136.97,12.81,20.75,2.88,1.64
UAL,Industrials,128.13,2.94,6.48,2.33,3.56
UNH,Health Care,139.43,18.1,12.86,3.07,2.3
UPS,Industrials,123.61,15.37,14.64,29.18,14.38
URI,Industrials,146.62,11.89,7.65,4.51,7.19
UHS,Health Care,89.98,17.42,17.19,2.68,1.23
UNM,Financials,136.12,8.08,5.88,0.79,5.99
VLO,Energy,101.53,7.03,6.99,1.24,1.07
VAR,Health Care,111.93,17.55,19.32,4.21,1.28
VTR,Real Estate,116.98,34.93,11.39,1.53,1.31
VRSN,Information Technology,87.72,30.98,18.47,-8.98,-3.2
VRSK,Industrials,106.35,25.2,26.3,9.37,3.08
VZ,"Communication Services
",121.6,8.37,7.05,8.35,12.69
VRTX,Health Care,58.98,0.0,0.0,28.34,1.29
VFC,Consumer Discretionary,88.5,25.62,0.0,0.0,0.0
VIAC,Communication Services,137.62,14.89,17.15,3.57,3.27
VTRS,Health Care,71.08,32.57,16.34,2.72,1.28
V,Information Technology,102.12,27.36,31.87,5.57,0.87
VNO,Real Estate,108.06,18.05,0.0,1.63,1.83
VMC,Materials,133.68,56.0,51.39,2.71,0.86
WRB,Financials,125.65,12.77,10.81,1.32,3.69
WAB,Industrials,118.15,16.82,16.59,3.72,0.9
WMT,Consumer Staples,126.97,10.84,9.97,1.97,1.48
WBA,Consumer Staples,103.45,17.72,16.74,2.56,1.2
DIS,Communication Services,101.39,18.5,23.07,3.5,0.87
